subject_id,workflow_id,task,reducer,data.value,data.aggregation_version
47662341,15643,T1,dropdown_reducer,[{'4d3e231d63e6a': 4}],3.4.4
47662341,15643,T3,dropdown_reducer,[{'10': 4}],3.4.4
47662341,15643,T4,dropdown_reducer,[{'12': 4}],3.4.4
47662341,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662344,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 5}],3.4.4
47662344,15643,T3,dropdown_reducer,[{'19': 5}],3.4.4
47662344,15643,T4,dropdown_reducer,[{'2': 5}],3.4.4
47662344,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662346,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 4}],3.4.4
47662346,15643,T3,dropdown_reducer,[{'1': 4}],3.4.4
47662346,15643,T4,dropdown_reducer,[{'1': 4}],3.4.4
47662346,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662348,15643,T1,dropdown_reducer,[{'9a6c64060986': 4}],3.4.4
47662348,15643,T3,dropdown_reducer,[{'9': 4}],3.4.4
47662348,15643,T4,dropdown_reducer,[{'7': 4}],3.4.4
47662348,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662349,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 5}],3.4.4
47662349,15643,T3,dropdown_reducer,[{'28': 5}],3.4.4
47662349,15643,T4,dropdown_reducer,[{'5': 5}],3.4.4
47662349,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662351,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 6}],3.4.4
47662351,15643,T3,dropdown_reducer,[{'7': 6}],3.4.4
47662351,15643,T4,dropdown_reducer,[{'5': 6}],3.4.4
47662351,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 6}],3.4.4
47662352,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 5, '2c1c5b75e727b': 1}]",3.4.4
47662352,15643,T3,dropdown_reducer,[{'7': 6}],3.4.4
47662352,15643,T4,dropdown_reducer,[{'5': 6}],3.4.4
47662352,15643,T8,dropdown_reducer,"[{'9a8e01acfe16e': 5, 'missing': 1}]",3.4.4
47662354,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 5}],3.4.4
47662354,15643,T3,dropdown_reducer,[{'16': 5}],3.4.4
47662354,15643,T4,dropdown_reducer,[{'4': 5}],3.4.4
47662354,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662355,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 3, 'None': 1}]",3.4.4
47662355,15643,T3,dropdown_reducer,[{'2': 4}],3.4.4
47662355,15643,T4,dropdown_reducer,[{'4': 4}],3.4.4
47662355,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662357,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 5}],3.4.4
47662357,15643,T3,dropdown_reducer,[{'19': 5}],3.4.4
47662357,15643,T4,dropdown_reducer,[{'11': 5}],3.4.4
47662357,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662358,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 7}],3.4.4
47662358,15643,T3,dropdown_reducer,[{'20': 7}],3.4.4
47662358,15643,T4,dropdown_reducer,[{'8': 7}],3.4.4
47662358,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662359,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 5}],3.4.4
47662359,15643,T3,dropdown_reducer,[{'23': 5}],3.4.4
47662359,15643,T4,dropdown_reducer,[{'7': 5}],3.4.4
47662359,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662361,15643,T1,dropdown_reducer,"[{'5bd2fbcf507d4': 4, 'None': 1}]",3.4.4
47662361,15643,T3,dropdown_reducer,[{'26': 5}],3.4.4
47662361,15643,T4,dropdown_reducer,[{'3': 5}],3.4.4
47662361,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 5}],3.4.4
47662362,15643,T1,dropdown_reducer,[{'5bd2fbcf507d4': 4}],3.4.4
47662362,15643,T3,dropdown_reducer,[{'5': 4}],3.4.4
47662362,15643,T4,dropdown_reducer,[{'3': 4}],3.4.4
47662362,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 4}],3.4.4
47662364,15643,T1,dropdown_reducer,[{'f0f7524fdb08e': 7}],3.4.4
47662364,15643,T3,dropdown_reducer,[{'17': 7}],3.4.4
47662364,15643,T4,dropdown_reducer,[{'12': 7}],3.4.4
47662364,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
47662366,15643,T1,dropdown_reducer,"[{'e4d9c81e23fe3': 5, 'cd638da74b4e3': 1, 'None': 1}]",3.4.4
47662366,15643,T3,dropdown_reducer,[{'10': 7}],3.4.4
47662366,15643,T4,dropdown_reducer,[{'12': 7}],3.4.4
47662366,15643,T8,dropdown_reducer,[{'9a8e01acfe16e': 7}],3.4.4
